city,population,density (per sq. km)
Lochmoor Waterway Estates,4163,728
Fortville,4162,506
Ketchum,4160,343
Aldan,4160,2691
West Menlo Park,4160,3299
Otisville,4159,533
Tiffin,4157,391
Minersville,4157,2443
Grafton,4157,485
Heritage Village,4156,653
Oakwood,4156,285
Fruit Hill,4156,1259
Harbison Canyon,4155,159
Cockrell Hill,4154,2755
Carmel Valley Village,4152,84
Tri-City,4150,221
Blythewood,4150,150
Burgaw,4149,341
Virden,4148,686
Bradley Beach,4148,2623
Barnesville,4148,794
Waverly,4146,183
Camdenton,4145,291
Westville,4144,1562
Imbéry,4144,2484
Constantine,4143,504
Mulberry,4143,997
Haleyville,4142,190
Louisville,4141,107
Chariton,4141,418
Taft,4140,663
Rice Lake,4139,49
Herculaneum,4138,384
Charlevoix,4137,469
Dewey-Humboldt,4137,85
Northwest Harwich,4136,200
Peotone,4135,848
Riverdale,4135,787
South Greeley,4134,956
Etowah,4133,477
Riva,4130,649
Garden Ridge,4130,223
Columbus,4130,35
Swannanoa,4127,249
Dawson,4126,424
Rockville,4124,641
Maeser,4123,246
Peaceful Valley,4123,93
Herricks,4122,2777
Lenwood,4122,764
New Carlisle,4122,398
Pocola,4121,52
Benton Heights,4121,412
Stanton,4119,466
Christopher,4118,646
Austin,4118,587
Westport,4117,433
Falls City,4117,475
New Tazewell,4116,207
Grant,4116,63
Walthourville,4115,413
Waverly,4115,696
Randleman,4115,391
Cassville,4114,371
Woodstown,4112,842
Burns,4112,303
Heritage Hills,4111,851
St. Marys,4111,668
Caseyville,4110,218
Goodview,4109,719
Forest Oaks,4108,330
Sinking Spring,4106,1277
Wadena,4105,293
Del Monte Forest,4105,197
Fleetwood,4104,1517
Sparks,4104,1120
Moxee,4104,669
Perry,4102,289
Jefferson,4102,265
Monongahela,4102,827
Pearl River,4100,51
Dimmitt,4099,502
Magee,4097,300
West Milwaukee,4096,1413
Holloman AFB,4096,125
Presidio,4095,583
Bonifay,4094,257
Scottdale,4094,1365
Wood Village,4093,1677
Lathrup Village,4091,1048
North Plymouth,4091,1267
Burnham,4088,850
Rutherfordton,4087,383
Marietta-Alderwood,4086,268
North Richmond,4085,1135
Lorane,4085,886
Pemberwick,4083,2322
Charlotte Harbor,4082,679
Camuy,4080,1581
Austin,4079,517
Whispering Pines,4078,354
Newcomerstown,4076,507
Waimanalo Beach,4076,799
Northwoods,4076,2252
Waverly,4075,660
Beavercreek,4075,78
Sharpsville,4074,1130
Punta Santiago,4074,1012
Brewerton,4074,496
Ripley,4073,383
Mosinee,4072,200
Boyertown,4071,2032
Running Springs,4071,373
Narrows,4069,595
Aguilita,4069,1750
Alexandria,4068,141
New Lebanon,4067,752
University,4067,2229
Rosemont,4066,875
Rising Sun-Lebanon,4065,439
Ho-Ho-Kus,4065,902
West Bradenton,4065,1210
Rosewood Heights,4063,924
La Paloma,4063,728
Desoto Lakes,4061,1273
Stilwell,4060,483
Marine City,4058,726
Walton,4058,330
Crescent Springs,4058,1048
Le Sueur,4057,302
Rio Dell,4056,566
Ridgway,4056,554
Kimberly,4054,876
Spackenkill,4053,881
Shrewsbury,4053,724
Egg Harbor City,4052,144
Empire,4051,978
Cannon Falls,4050,348
Livingston,4049,240
Hampton,4049,214
Lake Belvedere Estates,4046,2884
Pipestone,4046,376
Marienville,4045,257
County Center,4045,771
Spring House,4045,597
Fayetteville,4044,894
Forty Fort,4041,1188
Jamestown,4038,707
Loch Lomond,4038,2169
Sunset Beach,4037,230
Woodson Terrace,4037,2015
Algonac,4037,1098
Goulding,4036,1314
St. James,4034,364
Redwood,4033,241
Red Springs,4031,364
Vandalia,4030,693
Trevose,4030,2203
Belzoni,4029,725
Hatillo,4029,1437
Lake Land'Or,4028,343
Weaverville,4027,404
Fenton,4026,250
Crooked River Ranch,4026,75
Forest City,4025,335
Horseshoe Bay,4024,108
Gentry,4023,303
San Joaquin,4021,1296
Trent Woods,4021,522
San Carlos,4020,858
Lisbon Falls,4019,422
Crandall,4017,493
Butte,4015,45
Akron,4015,1263
Bellaire,4013,937
Southgate,4013,1064
Danielson,4012,1416
Louisa,4012,400
Kildeer,4012,366
Rocky Ford,4011,886
Rayville,4011,580
Taylor Creek,4010,513
Turners Falls,4010,814
Rossville,4009,857
Saylorville,4009,225
University Center,4007,1677
India Hook,4006,586
Ashburn,4005,301
South Chicago Heights,4003,977
Centerville,4002,727
Park Hill,4001,44
Lakewood,4001,336
Butler,3999,379
Bloomfield Hills,3997,311
Gamewell,3996,190
Mabank,3995,214
Parkesburg,3993,1214
Lawnton,3991,1330
Jena,3990,238
Shannon Hills,3990,583
Southside,3989,156
Richwood,3988,344
Morrison,3988,611
Greencastle,3986,969
Marshall,3984,723
Wrightwood,3984,259
Clay Center,3983,483
Louisburg,3980,503
Fulton,3980,180
Mills,3979,518
Pocono Woodland Lakes,3979,246
Shavano Park,3979,466
Madison,3978,147
High Point,3974,307
Lyncourt,3974,1234
Longbranch,3974,76
Harrisburg,3972,1078
Nassau Bay,3972,1256
Tiptonville,3971,753
West DeLand,3970,712
Meridian,3970,544
Manchester,3970,191
Rose Hill,3968,679
Ashland,3968,261
Spencer,3968,285
Bardonia,3966,597
Southport,3966,387
Blackshear,3965,268
Burney,3965,284
Le Claire,3965,327
Whitmore Village,3965,1695
Winona,3964,113
Washington,3963,198
Lolo,3961,161
Fairway,3960,1354
Sykesville,3958,969
Fort Gibson,3958,113
Buckingham,3958,83
Barceloneta,3957,1575
Angels,3956,420
Brazoria,3956,436
Crewe,3956,408
Oaklyn,3955,2434
Tyro,3954,118
Roselawn,3954,189
Holt,3952,482
Kalama,3951,302
Mount Hermon,3951,284
Lawrenceville,3949,1463
Elroy,3949,233
Elverson,3946,507
Mahanoy City,3944,2987
Hephzibah,3944,78
Metter,3942,202
West Nyack,3942,519
Carroll Valley,3942,283
Wellsville,3941,209
Chagrin Falls,3941,733
Linden,3939,645
Bunk Foss,3939,392
Nichols Hills,3938,772
Bunker Hill Village,3935,1053
Ball,3935,190
North El Monte,3933,3587
Village Shires,3931,1248
Clearlake Riviera,3930,290
Mount Angel,3930,1259
Skyline View,3929,567
Bayard,3929,862
Deephaven,3928,652
Jefferson,3928,284
Maytown,3928,412
Carefree,3927,172
Richwood,3925,169
Lares,3925,1109
Montpelier,3924,523
Benson,3922,540
Brookmont,3921,1154
Dana,3919,169
Fox Island,3918,291
Highland Beach,3916,2817
Pageland,3915,235
Medford Lakes,3914,1325
Boardman,3913,383
Roland,3911,505
Genesee,3910,226
Roebling,3909,1499
Laureldale,3909,1864
Lake Park,3909,2053
New Hope,3908,299
Hardin,3905,491
Mount Gilead,3903,419
Hazel Green,3901,150
Charleroi,3901,1976
Ravenswood,3900,773
Andrews,3900,500
Fairview,3900,50
Green Oaks,3897,379
Grand Bay,3897,173
Belleville,3896,1328
Throop,3896,302
Odenville,3893,105
Apalachicola,3893,472
Elkton,3893,354
Iroquois Point,3891,2839
Vineyards,3891,767
Bosque Farms,3888,381
Vine Hill,3886,997
Metzger,3886,2037
Wolf Lake,3884,422
North Great River,3883,643
Level Green,3881,394
Monticello,3880,269
Baden,3880,662
Clyde,3879,449
Dupo,3877,234
Waikapu,3875,135
North River Shores,3874,1179
Wheatland,3873,184
Niwot,3870,373
Nome,3870,116
Rochester,3867,85
Washington Park,3865,592
Menands,3864,487
Port Reading,3864,663
Grantley,3864,894
Rogersville,3863,403
Bridgeville,3862,189
Citronelle,3861,57
Umatilla,3861,417
Canton,3861,249
Gatlinburg,3860,143
St. James,3860,246
Chilton,3859,374
Leo-Cedarville,3858,402
Swanton,3858,441
Bunkie,3858,492
Millstadt,3857,427
Dallastown,3857,1912
Shrewsbury,3855,823
Valdez,3855,6
Pennsburg,3855,1860
Mojave,3855,25
Rock Valley,3854,341
Wurtsboro,3854,355
Mount Sterling,3853,665
Mountain Green,3853,275
Yellow Springs,3852,535
Cle Elum,3851,175
Denver,3851,1162
Bethel,3851,470
Larch Way,3851,1335
Puhi,3850,1672
Eastland,3850,340
Chipley,3849,328
Shingle Springs,3846,181
Smithton,3844,332
Glenwood Landing,3843,1525
Mission Hills,3842,1227
French Camp,3841,479
South Point,3839,504
Palmer Heights,3837,1278
Thomasville,3836,169
Huntingdon,3835,125
St. Augusta,3835,49
Abbotsford,3833,285
Level Park-Oak Park,3833,285
Meadow Lake,3832,128
Granger,3830,854
Leesburg,3829,238
Highland Falls,3829,1351
Nash,3827,437
Saxon,3827,618
LaGrange,3826,476
River Road,3826,208
Honea Path,3826,420
Mogadore,3821,685
Pleasant Hills,3821,338
Houtzdale,3819,752
Lincoln,3817,1013
Ossian,3816,783
Windber,3816,745
Leland,3815,405
Greentown,3815,537
Vidalia,3815,567
Panther Valley,3815,493
Hohenwald,3813,279
North Hudson,3811,950
Carmel-by-the-Sea,3811,1379
Marshall,3811,406
Elba,3811,95
Arbuckle,3809,835
Winneconne,3808,657
Friona,3808,1050
Barrett,3807,229
Key Center,3806,100
Midland,3805,139
Warminster Heights,3805,2330
Elmira Heights,3805,1281
Oakhurst,3804,911
Welcome,3804,157
Independence,3803,45
Longview Heights,3803,349
Lansford,3803,955
Indian Head,3802,1191
Fowlerville,3802,483
Lambertville,3801,1353
Brooktrails,3800,201
Avenue B and C,3797,1994
Lillington,3797,306
Roosevelt Park,3796,1426
North Muskegon,3793,818
Forestdale,3791,383
Grayling,3790,348
Carter Lake,3785,793
Booneville,3785,370
Valley Green,3785,1045
Cedar Springs,3785,730
Cisco,3784,294
Mirrormont,3780,140
Grifton,3779,503
Gibbstown,3778,887
Eagle Lake,3777,497
Plainwell,3777,732
Freedom,3777,1284
Hugoton,3776,694
Lake Goodwin,3775,364
Colonial Beach,3773,547
Norwood Young America,3769,609
Waldport,3766,316
Toledo,3766,649
Country Lake Estates,3766,1326
West Liberty,3766,822
Graceville,3766,189
Bayport,3765,825
Quartzsite,3763,40
Port St. Joe,3763,147
Stanley,3762,538
Centre,3762,121
Merton,3762,465
Eastover,3762,128
Fulton,3762,282
Imlay City,3761,583
Forestville,3761,276
Melody Hill,3761,1061
North Wildwood,3760,841
Celada,3759,2170
Bystrom,3759,2057
St. Charles,3758,378
Madison,3758,119
Haleiwa,3757,635
San Castle,3756,3450
Brownsville,3756,417
Calcutta,3755,122
Manti,3754,457
Harbour Heights,3752,668
Scott City,3748,544
Franklinton,3745,330
Mamou,3745,854
Irwin,3744,1727
South Russell,3744,381
Whitfield,3743,1047
Agua Dulce,3742,63
Johnson,3742,399
Hesston,3742,399
Sumiton,3741,172
White Hall,3741,348
Cresco,3739,431
Cross City,3739,358
Farmerville,3739,248
West Point,3737,123
Cozad,3735,551
Madison,3734,404
North Webster,3732,557
Ocilla,3732,566
La Cienega,3732,126
Turnersville,3731,968
Village Green,3729,1247
Boyne City,3729,360
Jackson,3728,322
Bagdad,3728,226
Bullard,3727,430
Itta Bena,3727,495
North Alamo,3727,1014
Upland,3726,458
Trappe,3725,697
Lavon,3724,568
Coal Valley,3723,461
Pulaski,3721,506
Indian Head Park,3719,1543
Lyman,3718,225
Comfort,3717,444
Boulevard Park,3717,1210
Sweeny,3717,715
Lowell,3716,527
Maiden,3716,240
St. Anthony,3713,887
Metamora,3713,697
Stanley,3711,335
St. Pauls,3710,585
Hudson,3709,383
Rochester,3709,607
Bryn Mawr,3708,2258
Belvidere,3707,682
Flagler Estates,3707,120
Fordyce,3705,209
Sunnyslope,3704,178
Livonia,3701,285
Lancaster,3701,474
Mountain View,3701,305
Ellijay,3701,186
Merchantville,3700,2407
Battle Mountain,3698,400
Plymouth,3696,322
Emerald Isle,3695,289
SUNY Oswego,3694,4230
Candelaria Arenas,3693,1430
San Manuel,3692,68
Clarcona,3691,311
Mount Union,3689,778
Leisure Village East,3687,918
Wolf Point,3687,1227
Montauk,3685,81
South Toms River,3685,1229
Woodbourne,3685,1154
Emmetsburg,3684,373
McGehee,3683,213
Lake of the Woods,3683,358
Maybrook,3683,1049
Beach Haven West,3682,876
Pine Ridge,3682,501
Albia,3681,446
Avalon,3681,492
Meadow Vista,3679,268
Potosi,3677,77
Aurora,3676,431
Lely,3675,1034
Sagamore,3675,426
Brookland,3674,181
Arlington,3674,2105
Feather Sound,3671,499
Hebron,3670,746
Wintersville,3669,453
Milan,3669,326
Ranlo,3668,780
Muttontown,3668,233
Moca,3667,1406
Auburn Lake Trails,3664,111
Northfield,3663,1346
Royal Palm Estates,3663,1697
Millvale,3662,2288
Mullica Hill,3662,396
Lloyd Harbor,3658,150
Fritch,3658,464
Spencerport,3657,1021
Melrose,3656,444
Oracle,3656,89
Troy,3655,343
Thorndale,3655,757
Boonsboro,3655,462
Juno Beach,3655,691
Mora,3653,265
White Bluff,3653,232
Quitman,3652,341
Port Vue,3651,1240
Wills Point,3651,384
Wadsworth,3651,146
Fairbury,3647,781
Squaw Valley,3646,24
Perham,3645,396
Old River-Winfree,3645,361
Horicon,3645,403
Richfield,3644,152
Northlake,3643,343
North East,3642,695
Shenandoah Farms,3642,124
Ballinger,3642,401
Maple Heights-Lake Desire,3641,344
Shady Cove,3641,631
Meridian,3640,1602
Society Hill,3640,1017
Wildwood Lake,3639,116
Heavener,3636,258
Ponderosa Park,3636,96
Westway,3636,1222
South Glens Falls,3634,1032
Felton,3633,308
Blanding,3633,106
Camden,3632,246
Clearview,3630,302
Ringgold,3630,285
Farmersville,3630,345
South Duxbury,3629,477
Dell Rapids,3628,658
Lake Clarke Shores,3627,1517
Paoli,3627,374
Duncan,3626,260
Bolivar,3626,546
Fairbury,3626,554
Beloit,3625,357
Waukon,3625,470
Oakwood,3624,408
Las Animas,3622,513
Pajaro,3620,1507
New London,3619,435
Cedaredge,3616,451
Manhasset Hills,3615,2360
Northchase,3614,811
Pittsboro,3614,375
Dover Base Housing,3614,1904
Clayton,3613,249
Dunean,3613,887
El Dorado Springs,3612,452
Whitesboro,3612,1328
Frackville,3611,2344
Century,3610,221
Tarpey Village,3609,1753
Mercer,3608,628
Northumberland,3607,924
Romeo,3606,687
Brookville,3605,352
Saluda,3605,428
Cayuga Heights,3604,787
Kutztown University,3604,3170
Heber,3604,938
Moss Beach,3604,620
Zelienople,3603,679
Bonanza,3603,1326
Delta,3602,163
Ridgecrest,3602,2442
Lake Cassidy,3602,131
Gooding,3600,876
Palmyra,3599,475
Lake of the Pines,3599,929
McCall,3597,153
Gordon Heights,3596,814
Ozark,3595,178
Scissors,3594,870
Narragansett Pier,3594,389
Unicoi,3594,85
Combined Locks,3593,808
Kimberly,3593,231
Pine Lawn,3593,2255
Loxahatchee Groves,3593,110
Goldstream,3592,16
Southern Shops,3592,389
Elm Creek,3590,490
Newport,3588,382
North Baltimore,3588,554
Peralta,3584,311
Omro,3583,567
Woodbridge,3582,458
Saw Creek,3582,434
Stallion Springs,3581,84
Christiana,3580,174
Darien,3580,35
O'Neill,3579,579
Orofino,3576,485
Osceola,3576,242
Golf Manor,3575,2395
Thompsonville,3574,666
Sandia Heights,3571,731
Taylor Lake Village,3571,1226
Kitty Hawk,3571,169
Valley Grande,3570,41
Volcano,3570,25
Hubbard,3570,1919
Meiners Oaks,3569,978
Eveleth,3569,218
Greenhills,3567,1106
Rineyville,3565,301
Dixmoor,3563,1101
Lake Erie Beach,3562,359
Riverwoods,3562,346
Newtown Grant,3562,1777
Kelseyville,3560,476
Cambridge City,3560,669
Canton,3560,418
Oglesby,3559,338
Hainesville,3557,743
Brittany Farms-The Highlands,3557,1152
Helena Valley Northeast,3557,29
Long Lake,3557,1360
Northwest Harbor,3557,94
Oxford,3556,1090
Gallipolis,3556,381
Pen Argyl,3556,1022
Oregon,3555,695
Osage,3555,603
Carey,3554,652
Annandale,3554,448
Dublin,3553,382
Nowata,3552,408
Camden,3551,364
Vienna,3549,250
Baltimore,3548,521
Shadyside,3547,1355
Mission Hills,3547,672
Marlboro,3545,307
Boiling Springs,3545,554
Knox,3545,349
Frederick,3545,277
Windermere,3544,714
Nanty-Glo,3543,515
Frontenac,3543,475
Amberley,3543,392
Mississippi State,3542,584
Sloan,3541,1752
Centerville,3540,127
Breñas,3538,1385
Robins,3537,227
Valhalla,3536,1659
Willcox,3533,221
Lead,3532,552
Berwyn,3531,731
Momence,3530,761
Mount Pleasant,3530,465
Two Harbors,3529,416
Piggott,3529,254
Buzzards Bay,3528,711
Morton,3527,153
Evergreen,3526,68
Unadilla,3525,225
Indianola,3524,258
Rockfish,3523,274
Lockeford,3521,162
Holden Heights,3521,1325
West Liberty,3520,277
Paw Paw Lake,3520,264
Harrison,3519,215
Golden Grove,3519,235
Mariemont,3518,1519
Reliez Valley,3518,575
Southern Gateway,3517,422
Gravette,3516,88
Teague,3515,268
Silver Creek,3514,817
Brimfield,3513,341
St. Johns,3512,52
La Conner,3512,919
Clayton,3508,709
Wrightstown,3508,313
Poteet,3507,781
Hanover,3507,248
Riverside,3505,245
Goldendale,3505,457
Bloomer,3505,464
Lyons,3504,523
Seymour,3503,495
Amity Gardens,3503,1139
Hot Springs,3502,311
Valley Springs,3502,136
Hanover,3502,608
Nellis AFB,3501,470
Zumbrota,3501,494
Vassar,3500,456
Granite Hills,3500,484
Broken Bow,3497,691
Llano,3497,256
Moscow Mills,3496,427
Emerald Lakes,3495,456
Lake Isabella,3495,62
Glen Raven,3495,385
Grasonville,3495,244
Le Roy,3493,561
East Prairie,3490,908
Newaygo,3489,211
St. James City,3489,92
Waller,3488,612
West Monroe,3488,1087
Elkins,3487,332
Huntingtown,3486,166
Lake Royale,3485,206
Sauk City,3485,873
Myrtle Creek,3483,537
Kane,3483,848
Vicksburg,3483,458
Delshire,3483,1906
Vivian,3482,244
Locust Valley,3481,1481
Three Lakes,3480,115
Watkins Glen,3480,463
Red Bud,3480,544
Forsyth,3479,432
Yuma,3479,433
Raymond,3476,272
Balmville,3476,633
Cienegas Terrace,3476,420
Carrollton,3476,321
Alturas,3475,24
Pine Island,3475,230
Middleville,3475,582
East Sandwich,3473,178
Emerald Mountain,3472,83
Brentwood,3471,3483
Marlboro Meadows,3468,219
Red Oak,3468,68
Pelham,3466,328
Hicksville,3464,520
Johnston City,3464,618
Cedar Grove,3464,508
Hidden Meadows,3462,202
Wheatland,3462,326
Hanceville,3461,296
Hodgenville,3459,593
Shannondale,3459,158
North Pembroke,3458,298
Sunset,3457,355
Brodhead,3457,699
Alexander,3457,592
Loyalhanna,3456,566
Malvern,3455,1058
Putnam Lake,3455,347
McLendon-Chisholm,3455,140
Carlton,3454,957
Elim,3453,668
Wilkesboro,3453,212
Cross Mountain,3453,198
Pawhuska,3452,362
Doolittle,3452,311
Rollingwood,3449,7849
Gothenburg,3448,371
Hannahs Mill,3448,307
Jasper,3448,135
Mineral Ridge,3448,432
Heyburn,3447,509
Oakhurst,3446,221
Clifton,3446,650
Moore Haven,3446,654
Highland Acres,3446,891
Aguas Buenas,3446,1378
Mono Vista,3446,469
Aledo,3445,588
Mount Orab,3444,137
Piney Point Village,3444,624
Mobridge,3444,678
Dillonvale,3443,1489
Kekaha,3442,1325
Oaklawn-Sunview,3441,2475
Point Baker,3441,200
Lockland,3441,1089
Rochester,3440,2258
Treasure Lake,3439,124
Cottonport,3438,365
Tierra Verde,3437,1067
Landmark,3435,143
Iowa,3434,382
Riverton,3434,574
Canyon Creek,3433,217
Riverdale,3433,337
Hoosick Falls,3433,808
San Miguel,3433,1262
Ross,3432,423
Yadkinville,3431,390
La Vale,3429,496
Gibson City,3429,537
South Beach,3429,486
Dennis Port,3428,435
Monte Sereno,3427,806
Houston,3427,179
Hobart,3427,407
Ingenio,3426,1731
Montura,3425,59
Freeland,3424,1965
Smithville-Sanders,3424,123
Germantown Hills,3423,807
Paulding,3423,559
Cape May,3422,534
Harlem,3420,206
Claxton,3418,489
Cuthbert,3417,433
Tutwiler,3416,476
Minoa,3415,971
Oliver Springs,3414,228
Baldwin,3414,269
Meadowbrook,3414,196
Hansville,3413,124
Leisure Village West,3412,1088
High Bridge,3410,550
Heflin,3409,81
Campo,3408,55
Eagle Grove,3406,319
New Hampton,3406,392
Calcium,3405,235
Lake Lakengren,3405,459
La Center,3404,533
Woodlawn,3402,514
Dunkirk,3402,740
Marianna,3402,363
Concordia,3401,1268
Richwood,3399,520
Newcastle,3397,512
Toa Alta,3396,2091
Haworth,3393,676
Trinity,3393,280
South Dennis,3393,287
Tolono,3392,635
South Vacherie,3392,255
Ladonia,3391,417
Tipton,3389,625
Leavenworth,3389,557
Hominy,3388,656
Tuckerton,3388,389
Frontenac,3388,263
Pantops,3388,611
Nyssa,3387,793
Vandenberg AFB,3387,59
Clyde Hill,3386,1238
Crosby,3385,303
Crisfield,3385,570
Dewey,3384,457
Flat Rock,3383,161
Old Mystic,3383,306
Karnes City,3383,571
Coronita,3383,2182
Sylvan Beach,3382,494
Mountain View,3381,23
Keego Harbor,3381,2634
McChord AFB,3381,219
Alma,3380,214
Oakridge,3379,601
Elizabethtown,3378,280
Cleves,3375,842
Pine Hills,3375,128
Glasgow,3374,913
Waldron,3374,228
Windsor,3373,462
Grand Mound,3373,331
Churchville,3372,684
Casa Conejo,3372,2760
Georgetown,3371,634
Arcadia,3370,663
Skidway Lake,3369,115
Mar-Mac,3368,285
Loyola,3367,911
Big Lake,3367,544
Shady Spring,3366,213
Paris,3365,284
North Yelm,3365,389
Jefferson,3364,1516
Culloden,3362,312
Tiger Point,3360,923
Port Monmouth,3360,997
Eastlawn Gardens,3360,746
Cactus,3359,587
Bethel,3358,760
Burbank,3358,98
Manila,3357,347
Kennedy,3356,1069
Ahtanum,3356,187
Sleepy Eye,3356,705
Ely,3355,443
Nokomis,3355,795
Delmar,3354,766
Mattapoisett Center,3354,262
Hartford,3354,487
Experiment,3352,435
Cornville,3351,98
Elma,3351,507
North Lakeport,3351,336
Houghton Lake,3350,220
Loíza,3349,2504
Lincoln Heights,3349,1739
Northlake,3348,76
Pixley,3347,414
Lake Placid,3347,663
Howe,3346,253
Reno,3346,314
Shallowater,3346,687
Peshtigo,3345,428
Oak Valley,3345,1851
Manor,3344,674
Corunna,3344,406
Crestview Hills,3343,679
Hollywood Park,3342,892
Mansfield,3341,597
Kinsey,3341,72
Auburn,3337,588
Mayfield,3337,325
Schnecksville,3336,478
Fairchild AFB,3336,194
Mackinaw,3335,613
Dade City North,3335,783
Nicholls,3333,696
Waterloo,3333,337
Lake Holm,3331,153
Blennerhassett,3330,258
Kingwood,3330,485
Inwood,3330,450
Blackstone,3329,285
Hardwick,3329,264
Lake California,3329,204
Pottsgrove,3328,464
Sherwood,3328,1201
Collinsville,3328,410
Pottsville,3327,93
Carthage,3327,311
Hemlock Farms,3326,166
Upland,3326,1978
Bajadero,3326,684
Bainbridge,3326,378
Laurel Lake,3325,738
Kamas,3324,238
Winchester,3322,160
Barron,3322,439
Story City,3320,464
Graniteville,3320,387
Desert Edge,3319,565
Sharpsburg,3318,2676
Cherryvale,3318,708
Chattahoochee Hills,3318,22
Chandler,3318,472
Ellsworth,3317,337
Alamo,3317,653
South Nyack,3316,2121
Fulton,3315,547
Port Ewen,3315,648
Salem Heights,3314,786
New Baden,3314,685
Edcouch,3313,1236
Patillas,3313,1123
Chesnee,3310,325
Pleasant Gap,3310,781
Islandia,3309,577
Etna,3308,1748
Waialua,3308,582
Ponce Inlet,3308,284
Lake Junaluska,3307,239
Taylor Creek,3307,151
Wellsville,3306,708
Stanhope,3306,694
Greensboro,3304,189
Goshen,3304,717
Moreland Hills,3303,178
Manistique,3303,353
Spring City,3303,1661
Santo Domingo,3302,595
Elma Center,3301,203
Long Prairie,3301,465
Haviland,3300,331
Winnsboro,3299,340
Shark River Hills,3299,1487
