city,population,density (per sq. km)
Sebring,62250,404
Council Bluffs,62166,559
Hamilton,62082,1117
Moore,62055,1094
Pico Rivera,62027,2887
Casa Grande,61966,204
Monessen,61960,967
Montebello,61954,2870
Rome,61537,449
The Hammocks,61516,3010
Millcreek,61450,1859
Sanford,61448,1015
National City,61394,3250
Mayagüez,61361,1129
Burnsville,61339,953
Coconut Creek,61248,2117
Morristown,61171,426
Reston,61147,1540
Lakewood,61037,1381
Spring,60976,1047
Gadsden,60944,362
Taylor,60922,996
Novi,60896,777
Marietta,60867,1004
Hot Springs,60767,400
Woodland,60598,1527
Fountainebleau,60547,5854
La Habra,60513,3177
Malden,60470,4628
South Whittier,60357,4366
Commerce City,60336,652
South Hill,60172,1265
Bristol,59947,876
Columbus,59897,660
West Allis,59890,2031
Taylorsville,59805,2128
Bangor,59772,363
Monterey Park,59669,3002
Greenwood,59458,822
Bartlett,59440,710
Bradenton,59439,1596
Pontiac,59438,1154
Staunton,59433,483
Meriden,59395,963
Gardena,59329,3929
Apex,59300,1100
Royal Oak,59277,1940
Cupertino,59276,2023
La Mesa,59249,2515
Benton Harbor,59216,858
St. Clair Shores,58984,1949
Des Plaines,58899,1598
Lewiston,58802,409
Margate,58796,2591
Midland,58787,468
Carson City,58756,149
Bowie,58643,1144
Middletown,58592,2048
Caldwell,58481,998
San Rafael,58440,1361
Richland,58225,573
St. Peters,58212,1003
Wesley Chapel,58208,511
Hendersonville,58113,714
White Plains,58109,2291
Huntersville,58098,550
Santee,58081,1355
Jefferson City,58025,457
Beckley,57942,647
Arcadia,57939,2047
Titusville,57891,615
Cartersville,57873,289
Walla Walla,57860,926
Orland Park,57857,1014
Towson,57817,1577
Weymouth,57746,1329
Parker,57706,1003
Palm Beach Gardens,57704,379
Bozeman,57695,945
East Stroudsburg,57577,1416
Huntington Park,57509,7370
Taunton,57464,475
Midwest City,57407,907
Medford,57341,2733
Goldsboro,57278,462
Euless,57197,1368
Manhattan,57046,1062
Shoreline,57027,1892
Lake Havasu City,56820,465
Smyrna,56666,1406
Cape Girardeau,56551,538
Tamiami,56225,3080
Kendale Lakes,56182,2686
Grants Pass,55837,1279
Blue Springs,55829,961
Southaven,55780,521
Tinley Park,55773,1336
Diamond Bar,55720,1446
Pittsfield,55697,402
Eagle Pass,55686,1216
New Brunswick,55676,4108
Lenexa,55625,630
Hazleton,55604,1592
Twin Falls,55556,1008
Brookhaven,55554,1847
Novato,55516,780
Tigard,55514,1680
Highland,55417,1141
Fountain Valley,55357,2356
Dearborn Heights,55353,1820
Grapevine,55281,667
Fond du Lac,55209,869
Hacienda Heights,55188,1906
Ithaca,55137,2209
Apple Valley,55135,1254
Chicopee,55126,929
Oak Lawn,55022,2478
Cathedral City,55007,944
Delano,54917,1448
Bentonville,54909,627
Stonecrest,54903,566
Kettering,54855,1133
Colton,54824,1362
Kingston,54791,1176
West Haven,54620,1961
St. Cloud,54579,1038
Normal,54469,1149
Berwyn,54391,5378
Milford,54328,945
Aloha,54287,2851
Arroyo Grande,54177,1168
Minnetonka,54064,775
Rosemead,54058,4043
Paramount,53955,4405
Yucaipa,53921,735
Brunswick,53914,367
Williamsport,53861,1246
Elyria,53757,1009
Leesburg,53727,1673
Mount Prospect,53719,1934
Pinellas Park,53637,1289
Bellevue,53544,1247
West Sacramento,53519,962
Apopka,53447,613
Lewiston,53384,731
Grand Island,53296,665
Palm Desert,53275,767
Milford city ,53195,937
Watertown,53163,1061
Little Elm,53126,1151
Chambersburg,53083,1178
Revere,53073,3592
Peabody,53070,1262
Wylie,53067,928
Beaufort,53051,212
Aspen Hill,53049,2134
DeSoto,52988,945
Helena,52936,760
Edina,52857,1320
Wheaton,52745,1801
West New York,52723,20473
Hoboken,52677,16268
Lacey,52592,1187
Summerville,52549,1030
Oak Park,52381,4303
Maricopa,52127,470
Lompoc,52020,1423
Kentwood,51898,958
Levittown,51818,1969
Sierra Vista,51731,109
Levittown,51634,2926
Madison,51593,657
Smyrna,51586,657
Glendora,51544,1020
Burien,51500,1980
Perth Amboy,51390,4255
Herriman,51348,916
Farmington,51309,497
New Bern,51308,409
Placentia,51233,2990
Hinesville,51206,707
Beaumont,51063,650
Collierville,51040,544
West Lafayette,50996,1449
Florissant,50952,1567
Hoffman Estates,50932,933
Queen Creek,50890,606
Aliso Viejo,50887,2839
Kannapolis,50841,602
Methuen Town,50706,881
Sahuarita,50616,382
Traverse City,50522,729
Severn,50496,1064
Catalina Foothills,50454,465
Galveston,50446,473
Country Club,50431,4664
Cookeville,50408,378
Mishawaka,50363,1101
Rowland Heights,50347,1486
Plainfield,50317,3260
Bullhead City,50309,265
Stillwater,50299,657
Forney,50251,710
Wheaton,50229,2811
Azusa,49974,1996
North Bethesda,49872,2171
Cerritos,49859,2207
Ashburn,49848,1120
Bloomsburg,49840,1226
Morehead City,49760,504
Coral Gables,49700,1484
Enid,49688,259
Lakewood,49678,3460
Oroville,49513,578
Wilson,49483,613
Lawrence,49462,945
Portage,49445,591
Minot,49425,671
Dunwoody,49356,1462
Poway,49323,487
San Jacinto,49215,738
Troy,49154,1832
Newark,49149,1367
Cuyahoga Falls,49106,734
Downers Grove,49057,1304
Bedford,49049,1890
Reedley,49042,1818
Dublin,49037,767
Marana,49030,156
Cypress,49006,2861
Hollister,48992,2140
Murray,48917,1532
Roswell,48889,617
Pascagoula,48869,544
Tuckahoe,48799,921
Ceres,48706,2009
St. Louis Park,48662,1767
Rio Grande City,48610,493
Draper,48587,626
Palm Springs,48518,198
Paducah,48481,475
Findlay,48469,810
University,48436,2954
Bel Air South,48425,1193
Antelope,48398,2733
Kyle,48393,613
Monroe,48317,834
Lincoln,48275,792
Ocoee,48263,1217
Burleson,48225,658
La Mirada,48183,2378
Farmers Branch,48158,1565
East Lansing,48145,1384
Uniontown,48137,1838
Jeffersonville,48126,544
Winder,48125,507
Wauwatosa,48118,1404
Littleton,48065,1469
Cumberland,47980,740
Cedar Hill,47930,517
Carrollton,47920,471
Rancho Santa Margarita,47896,1434
Beavercreek,47741,693
Niagara Falls,47720,1308
McLean,47682,742
North Highlands,47661,2088
East Providence,47618,1383
Florin,47555,2109
East Honolulu,47540,797
Chesterfield,47538,575
Covina,47450,2606
Bothell,47415,1342
Glenview,47308,1302
Mentor,47262,656
Keller,47213,987
Danville,47059,654
Spring Hill,47042,630
Roseville,47018,1845
Elmhurst,46746,1759
New Philadelphia,46698,818
Sandusky,46655,981
El Dorado Hills,46593,371
Salina,46550,698
Euclid,46550,1687
Kingman,46524,318
Everett,46451,5244
Farmington,46331,808
Weatherford,46268,477
Middletown,46258,435
Roseburg,46228,843
Biloxi,46212,415
Leavenworth,46192,572
Fort Pierce,46103,751
Winter Garden,46051,1094
Oro Valley,46044,509
Morgan Hill,45952,1365
Potomac,45940,705
Pinehurst,45935,384
Danville,45890,361
Rockwall,45888,603
Coachella,45743,587
Wake Forest,45629,999
Pearl City,45605,1933
Tupelo,45466,229
Attleboro,45237,652
Pine Bluff,45204,365
Oakland Park,45202,2318
Marion,45181,1175
Hilo,45056,325
Lufkin,44867,395
Altadena,44850,2045
Manitowoc,44770,707
Lake Ridge,44716,1849
Selma,44703,1661
Strongsville,44660,700
Danville,44510,950
