state,city,county,zipcode,latitude,longitude,major_airport,distance
ND,Sanborn,Barnes,58480,46.9428,-98.2238,"Chisholm Hibbing Airport",409.9903
ND,Sibley,Barnes,58429,47.2186,-97.9653,"Chisholm Hibbing Airport",386.9257
ND,Pillsbury,Barnes,58065,47.2071,-97.7957,"Chisholm Hibbing Airport",374.2659
ND,Dazey,Barnes,58429,47.1883,-98.2007,"Chisholm Hibbing Airport",404.931
ND,Nome,Barnes,58062,46.6758,-97.8162,"Chisholm Hibbing Airport",385.343
ND,Litchville,Barnes,58461,46.6566,-98.1917,"Chisholm Hibbing Airport",413.707
ND,Leal,Barnes,58479,47.1049,-98.3155,"Chisholm Hibbing Airport",414.4938
ND,Rogers,Barnes,58479,47.074,-98.2031,"Chisholm Hibbing Airport",406.4359
ND,Kathryn,Barnes,58049,46.6812,-97.9704,"Chisholm Hibbing Airport",396.644
ND,Valley City,Barnes,58072,46.9223,-98.0055,"Chisholm Hibbing Airport",393.9878
ND,Wimbledon,Barnes,58492,47.1691,-98.4586,"Chisholm Hibbing Airport",424.5366
ND,York,Benson,58386,48.3132,-99.5733,"Chisholm Hibbing Airport",512.7879
ND,Warwick,Benson,58381,47.8547,-98.7056,"Chisholm Hibbing Airport",442.6588
ND,Brinsmade,Benson,58351,48.184,-99.3236,"Chisholm Hibbing Airport",492.3738
ND,Oberon,Benson,58357,47.9242,-99.2059,"Chisholm Hibbing Airport",480.4694
ND,Knox,Benson,58343,48.3439,-99.6911,"Chisholm Hibbing Airport",521.9284
ND,Minnewaukan,Benson,58351,48.0761,-99.2607,"Chisholm Hibbing Airport",486.2145
ND,Esmond,Benson,58332,48.0331,-99.7647,"Chisholm Hibbing Airport",522.97
ND,Maddock,Benson,58348,47.9624,-99.5293,"Chisholm Hibbing Airport",504.8287
ND,Fort Totten,Benson,58374,47.9716,-98.9971,"Chisholm Hibbing Airport",465.467
ND,Leeds,Benson,58346,48.2875,-99.4344,"Chisholm Hibbing Airport",502.1916
ND,Medora,Billings,58645,46.9127,-103.525,"Billings Logan International Airport",404.1138
ND,Newburg,Bottineau,58762,48.7139,-100.9127,"Chisholm Hibbing Airport",617.6833
ND,Maxbass,Bottineau,58760,48.7225,-101.1426,"Chisholm Hibbing Airport",634.4372
ND,Antler,Bottineau,58711,48.9713,-101.2832,"Billings Logan International Airport",649.5136
ND,Kramer,Bottineau,58748,48.691,-100.7078,"Chisholm Hibbing Airport",602.4363
ND,Bottineau,Bottineau,58318,48.8248,-100.4425,"Chisholm Hibbing Airport",586.4946
ND,Gardena,Bottineau,58748,48.7012,-100.4981,"Chisholm Hibbing Airport",587.5625
ND,Landa,Bottineau,58783,48.8959,-100.912,"Chisholm Hibbing Airport",621.7387
ND,Souris,Bottineau,58783,48.91,-100.6826,"Chisholm Hibbing Airport",605.7489
ND,Overly,Bottineau,58384,48.6811,-100.151,"Chisholm Hibbing Airport",562.1665
ND,Lansford,Bottineau,58750,48.627,-101.3759,"Billings Logan International Airport",625.1488
ND,Willow City,Bottineau,58384,48.6046,-100.2934,"Chisholm Hibbing Airport",570.7215
ND,Westhope,Bottineau,58793,48.9112,-101.0178,"Chisholm Hibbing Airport",629.6567
ND,Scranton,Bowman,58653,46.1498,-103.1429,"Billings Logan International Airport",418.9254
ND,Bowman,Bowman,58623,46.184,-103.3991,"Billings Logan International Airport",399.4827
ND,Rhame,Bowman,58651,46.2347,-103.655,"Billings Logan International Airport",380.3289
ND,Gascoyne,Bowman,58653,46.119,-103.0788,"Billings Logan International Airport",423.6793
ND,Columbus,Burke,58727,48.905,-102.7812,"Billings Logan International Airport",553.8006
ND,Portal,Burke,58772,48.9947,-102.5479,"Billings Logan International Airport",573.4427
ND,Bowbells,Burke,58721,48.8037,-102.2471,"Billings Logan International Airport",579.6347
ND,Larson,Burke,58727,48.8916,-102.8626,"Billings Logan International Airport",548.1285
ND,Flaxton,Burke,58737,48.8974,-102.3933,"Billings Logan International Airport",576.4624
ND,Powers Lake,Burke,58773,48.5637,-102.6452,"Billings Logan International Airport",540.6446
ND,Lignite,Burke,58752,48.8772,-102.5645,"Billings Logan International Airport",564.8828
ND,Regan,Burleigh,58477,47.1568,-100.5273,"Chisholm Hibbing Airport",580.3952
ND,Menoken,Burleigh,58558,46.8148,-100.5341,"Chisholm Hibbing Airport",585.6711
ND,Lincoln,Burleigh,58504,46.7691,-100.6987,"Sioux Gateway Col. Bud Day Field",593.4869
ND,Driscoll,Burleigh,58532,46.8427,-100.1439,"Chisholm Hibbing Airport",555.8652
ND,Bismarck,Burleigh,58507,46.8144,-100.7694,"Sioux Gateway Col. Bud Day Field",600.7435
ND,Wing,Burleigh,58494,47.1422,-100.2824,"Chisholm Hibbing Airport",562.1115
ND,Tower City,Cass,58071,46.9263,-97.676,"Chisholm Hibbing Airport",369.2393
ND,Wheatland,Cass,58079,46.9049,-97.3455,"Chisholm Hibbing Airport",344.9484
ND,West Fargo,Cass,58078,46.8573,-96.9057,"Chisholm Hibbing Airport",313.2323
ND,Briarwood,Cass,58104,46.787,-96.7949,"Chisholm Hibbing Airport",306.8013
ND,Leonard,Cass,58052,46.6523,-97.2499,"Chisholm Hibbing Airport",344.1498
ND,Amenia,Cass,58004,47.0065,-97.2241,"Chisholm Hibbing Airport",333.957
ND,Arthur,Cass,58006,47.1043,-97.2184,"Chisholm Hibbing Airport",332.0245
ND,Alice,Cass,58031,46.76,-97.5562,"Chisholm Hibbing Airport",363.9072
ND,Davenport,Cass,58021,46.7148,-97.0654,"Chisholm Hibbing Airport",328.7562
ND,Harwood,Cass,58042,46.9761,-96.8802,"Chisholm Hibbing Airport",308.7774
ND,Prairie Rose,Cass,58104,46.8171,-96.8353,"Chisholm Hibbing Airport",309.0005
ND,Frontier,Cass,58104,46.8002,-96.8332,"Chisholm Hibbing Airport",309.2823
ND,Casselton,Cass,58012,46.8972,-97.2129,"Chisholm Hibbing Airport",335.211
ND,Fargo,Cass,58126,46.8652,-96.8292,"Chisholm Hibbing Airport",307.3624
ND,North River,Cass,58102,46.9503,-96.802,"Chisholm Hibbing Airport",303.4524
ND,Erie,Cass,58029,47.1154,-97.3879,"Chisholm Hibbing Airport",344.613
ND,Reile's Acres,Cass,58102,46.927,-96.8666,"Chisholm Hibbing Airport",308.7563
ND,Argusville,Cass,58005,47.0501,-96.9431,"Chisholm Hibbing Airport",312.1723
ND,Embden,Cass,58079,46.805,-97.4395,"Chisholm Hibbing Airport",354.1499
ND,Grandin,Cass,58038,47.2367,-97.0033,"Chisholm Hibbing Airport",314.3567
ND,Oxbow,Cass,58047,46.6687,-96.8101,"Chisholm Hibbing Airport",311.3578
ND,Gardner,Cass,58036,47.1445,-96.9686,"Chisholm Hibbing Airport",312.731
ND,Hunter,Cass,58048,47.1904,-97.2131,"Chisholm Hibbing Airport",330.5904
ND,Ayr,Cass,58007,47.0411,-97.4909,"Chisholm Hibbing Airport",353.4015
