state,county,value_in_inches,rank,anomlay_1901_to_2000,mean_1901_to_2000
IL,Henry,36.58,76,1.67,34.91
IL,Iroquois,34.46,40,-1.83,36.29
IL,Jackson,48.88,94,5.83,43.05
IL,Jasper,49.45,111,9.1,40.35
IL,Jefferson,49.8,105,7.87,41.93
IL,Jersey,42.7,89,4.77,37.93
IL,Jo Daviess,38.66,91,4.78,33.88
IL,Johnson,55.43,104,9.49,45.94
IL,Kane,38.75,91,4.45,34.3
IL,Kankakee,36.36,67,0.91,35.45
IL,Kendall,35.21,66,1.03,34.18
IL,Knox,32.63,38,-2.8,35.43
IL,Lake,40.43,112,7.29,33.14
IL,LaSalle,35.61,72,1.44,34.17
IL,Lawrence,53.39,114,10.98,42.41
IL,Lee,39.47,96,4.62,34.85
IL,Livingston,38.32,91,3.69,34.63
IL,Logan,36.28,61,0.11,36.17
IL,McDonough,35.53,60,-0.29,35.82
IL,McHenry,39.55,103,5.57,33.98
IL,McLean,37.22,69,0.78,36.44
