,,,,,,
,,,,,,
,,,,,,
Location ID,County,Value (Inches),Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
GA-237,Putnam County,59.66,120,12.16,47.5,
GA-239,Quitman County,74.42,125,23.85,50.57,
GA-241,Rabun County,94.34,124,25.17,69.17,
GA-243,Randolph County,69.04,120,17.95,51.09,
GA-245,Richmond County,64.44,123,19.6,44.84,
GA-247,Rockdale County,70.61,124,20.36,50.25,
GA-249,Schley County,69.88,124,20.88,49,
GA-251,Screven County,56.23,112,9.68,46.55,
GA-253,Seminole County,61.89,109,8.52,53.37,
GA-255,Spalding County,71.03,125,21.41,49.62,
GA-257,Stephens County,72.27,121,16.62,55.65,
GA-259,Stewart County,71.57,125,22.41,49.16,
GA-261,Sumter County,68.97,123,20.39,48.58,
GA-263,Talbot County,70.08,124,19.55,50.53,
GA-265,Taliaferro County,65.13,121,17.29,47.84,
GA-267,Tattnall County,59.24,116,11.79,47.45,
GA-269,Taylor County,67.22,122,18.05,49.17,
GA-271,Telfair County,57.59,113,10.22,47.37,
GA-273,Terrell County,66.64,120,16.56,50.08,
GA-275,Thomas County,54.03,79,0.97,53.06,
GA-277,Tift County,53.15,101,4.98,48.17,
GA-279,Toombs County,60.53,120,13.66,46.87,
GA-281,Towns County,86.33,124,23.55,62.78,
GA-283,Treutlen County,63.19,121,16.77,46.42,
GA-285,Troup County,73.16,125,21.51,51.65,
GA-287,Turner County,59.71,115,11.99,47.72,
GA-289,Twiggs County,67.78,123,21.25,46.53,
GA-291,Union County,86.99,125,26.23,60.76,
GA-293,Upson County,69.81,125,19.79,50.02,
GA-295,Walker County,67.77,119,14.02,53.75,
GA-297,Walton County,68.13,122,17.77,50.36,
GA-299,Ware County,52.02,86,2.89,49.13,
GA-301,Warren County,64.55,122,17.25,47.3,
GA-303,Washington County,67.26,125,21.02,46.24,
GA-305,Wayne County,56.35,100,6.94,49.41,
GA-307,Webster County,69.42,122,19.87,49.55,
GA-309,Wheeler County,60.45,119,13.78,46.67,
GA-311,White County,89.13,124,25.32,63.81,
GA-313,Whitfield County,73.84,125,20.29,53.55,
GA-315,Wilcox County,63.99,120,16.74,47.25,
GA-317,Wilkes County,64.53,120,16.68,47.85,
GA-319,Wilkinson County,67.07,123,20.86,46.21,
GA-321,Worth County,58.55,114,10.21,48.34,
ID-001,Ada County,12.14,56,-0.19,12.33,
ID-003,Adams County,27.68,28,-4.76,32.44,
