state,city,county,zipcode,latitude,longitude,name,distance
TX,Cedar Hill,Dallas,75106,32.581,-96.9591,"Little Sandy National Wildlife Refuge, Lindale",157.9124
TX,Cedar Park,Williamson,78630,30.5106,-97.8196,"Pedernales Falls State Park, Johnson City",47.6705
IA,Cedar Rapids,Linn,52499,41.9665,-91.6782,"Grant Park, Chicago",335.7203
VA,Centreville,Fairfax,20124,38.8391,-77.4388,"Shenandoah National Park, Shenandoah",75.615
CA,Cerritos,Los Angeles,90703,33.8677,-118.0686,"Topanga State Park, Topanga",54.002
PA,Chambersburg,Franklin,17201,39.9315,-77.6556,"Rothrock State Forest, State College",88.9366
IL,Champaign,Champaign,61826,40.1144,-88.2735,"Grant Park, Chicago",203.4195
AZ,Chandler,Maricopa,85286,33.2826,-111.8516,"Kartchner Caverns State Park, Benson",213.7506
VA,Chantilly,Fairfax,20153,38.8868,-77.4453,"Shenandoah National Park, Shenandoah",76.3053
NC,Chapel Hill,Orange,27599,35.927,-79.0391,"Kings Mountain State Park, Blacksburg",226.7163
SC,Charleston,Charleston,29492,32.8153,-79.9628,"Lake Wateree State Recreation Area",192.4672
WV,Charleston,Kanawha,25396,38.3484,-81.6323,"Offshore Trap/Pot Waters Area, Western Atlantic Ocean",50.3381
NC,Charlotte,Mecklenburg,28299,35.208,-80.8304,"Kings Mountain State Park, Blacksburg",47.6031
VA,Charlottesville,Charlottesville,22909,38.0375,-78.4855,"Shenandoah National Park, Shenandoah",75.6159
TN,Chattanooga,Hamilton,37450,35.0657,-85.2488,"Chattahoochee National Forest, Suches",106.146
VA,Chesapeake,Chesapeake,23328,36.6778,-76.3024,"Shenandoah National Park, Shenandoah",285.0407
MO,Chesterfield,St. Louis,63017,38.6588,-90.5804,"Danville Conservation Area, New Florence",83.3717
WY,Cheyenne,Laramie,82009,41.1351,-104.79,"Golden Gate Canyon State Park",155.5385
IL,Chicago,Cook,60827,41.8373,-87.6862,"Grant Park, Chicago",6.8801
IL,Chicago Heights,Cook,60412,41.5101,-87.6345,"Grant Park, Chicago",40.7514
CA,Chico,Butte,95976,39.7575,-121.8152,"Whiskeytown National Recreation Area, Whiskeytown",116.3414
MA,Chicopee,Hampden,01022,42.1764,-72.5719,"Odiorne Point State Park, Rye",179.9291
OH,Chillicothe,Ross,45601,39.3393,-82.9937,"Offshore Trap/Pot Waters Area, Western Atlantic Ocean",172.1034
CA,Chino,San Bernardino,91710,33.9836,-117.6654,"Topanga State Park, Topanga",85.8175
CA,Chino Hills,San Bernardino,91709,33.9508,-117.7253,"Topanga State Park, Topanga",81.0063
CA,Chula Vista,San Diego,91921,32.6281,-117.0145,"Joshua Tree National Park, California",173.6717
IL,Cicero,Cook,60804,41.8445,-87.7593,"Grant Park, Chicago",11.922
OH,Cincinnati,Hamilton,45299,39.1413,-84.5061,"Offshore Trap/Pot Waters Area, Western Atlantic Ocean",252.123
CA,Citrus Heights,Sacramento,95621,38.6948,-121.288,"Sand Harbor State Park, Incline Village",130.0265
