zipcode,state,city,county,latitude,longitude,timezone,population_total,median_age,avg_rainfall,median_aqi,percentage_good_days,avg_temp_num,cost_rank,rent_index,restaurant_price_index,local_puchasing_power_index,lower_income_tax_rate,higher_income_tax_rate,sales_tax_rate,real_estate_tax_rate,annual_taxes_on_state_median_val_home,combined_upper_most_cap_gains,healthcare_rank,healthcare_cost_rank,distance_to_airport,distance_to_national_park
94583,CA,San Ramon,Contra Costa,37.76250,-121.93650,America/Los_Angeles,82440,38.55,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,25.43230,210.96960
94531,CA,Antioch,Contra Costa,37.97890,-121.79580,America/Los_Angeles,111269,34.70,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,47.05580,198.41500
94598,CA,Walnut Creek,Contra Costa,37.90240,-122.03980,America/Los_Angeles,89820,49.63,18.540,40,1,58.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,25.66910,219.56540
93844,CA,Fresno,Fresno,36.78310,-119.79410,America/Los_Angeles,608579,32.30,19.660,64,3,54.4,88,32.93,63.43,107.47,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,200.06150,110.87480
93747,CA,Clovis,Fresno,36.82780,-119.68310,America/Los_Angeles,122949,36.23,19.660,64,3,54.4,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,207.87620,100.57550
95534,CA,Eureka,Humboldt,40.79420,-124.15680,America/Los_Angeles,50048,40.20,63.450,27,1,52.9,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,320.26180,48.30680
92244,CA,El Centro,Imperial,32.78670,-115.55860,America/Los_Angeles,51783,32.30,3.390,42,1,72.2,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,152.66290,125.85430
93390,CA,Bakersfield,Kern,35.35290,-119.03590,America/Los_Angeles,570929,31.76,9.090,55,2,60.5,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,167.01530,141.50710
93215,CA,Delano,Kern,35.76700,-119.26370,America/Los_Angeles,56427,29.20,9.090,55,2,60.5,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,217.37870,139.86500
93230,CA,Hanford,Kings,36.32740,-119.65490,America/Los_Angeles,69502,32.30,7.640,64,3,62.5,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,232.79810,116.27440
90652,CA,Norwalk,Los Angeles,33.90690,-118.08290,America/Los_Angeles,109141,33.50,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,30.25560,50.90440
90202,CA,Bell Gardens,Los Angeles,33.96630,-118.15500,America/Los_Angeles,103777,28.40,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,23.48460,42.26360
91735,CA,El Monte,Los Angeles,34.07390,-118.02910,America/Los_Angeles,94014,33.30,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,37.85820,51.45320
90723,CA,Paramount,Los Angeles,33.89760,-118.16520,America/Los_Angeles,55239,29.50,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,22.95280,44.57950
90707,CA,Bellflower,Los Angeles,33.88800,-118.12710,America/Los_Angeles,79673,32.80,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,26.61930,48.17480
90310,CA,Hawthorne,Los Angeles,33.91460,-118.34760,America/Los_Angeles,98164,32.90,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,6.37780,29.70870
91706,CA,Baldwin Park,Los Angeles,34.08290,-117.97210,America/Los_Angeles,78650,31.70,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,34.31260,56.66630
90262,CA,Lynwood,Los Angeles,33.92400,-118.20170,America/Los_Angeles,73412,28.90,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,19.14320,40.21580
91526,CA,Burbank,Los Angeles,34.18790,-118.32350,America/Los_Angeles,111366,40.52,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,28.37550,26.46560
90233,CA,Culver City,Los Angeles,34.00580,-118.39680,America/Los_Angeles,50215,39.70,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,7.11380,20.06250
90895,CA,Carson,Los Angeles,33.83740,-118.25590,America/Los_Angeles,86274,37.80,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,18.26680,41.75040
90249,CA,Gardena,Los Angeles,33.89440,-118.30730,America/Los_Angeles,87388,39.27,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,10.72110,33.98520
91724,CA,Covina,Los Angeles,34.09030,-117.88170,America/Los_Angeles,83158,36.53,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,26.13400,64.97760
90255,CA,Huntington Park,Los Angeles,33.98000,-118.21670,America/Los_Angeles,76763,29.90,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,18.12880,36.39580
90312,CA,Inglewood,Los Angeles,33.95660,-118.34440,America/Los_Angeles,140246,34.72,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,6.07200,27.05210
90280,CA,South Gate,Los Angeles,33.94480,-118.19260,America/Los_Angeles,98087,30.10,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,19.87110,39.94550
90242,CA,Downey,Los Angeles,33.93790,-118.13120,America/Los_Angeles,116179,34.60,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,25.53950,45.44720
91702,CA,Azusa,Los Angeles,34.13860,-117.91240,America/Los_Angeles,64205,31.30,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,30.10870,62.33690
91778,CA,San Gabriel,Los Angeles,34.09480,-118.09900,America/Los_Angeles,64857,41.80,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,33.13330,44.96590
91749,CA,La Puente,Los Angeles,34.03230,-117.95330,America/Los_Angeles,118646,32.60,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,32.56680,58.79450
91899,CA,Alhambra,Los Angeles,34.08400,-118.13550,America/Los_Angeles,87167,40.60,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,29.63740,41.61970
91745,CA,Hacienda Heights,Los Angeles,33.99700,-117.97280,America/Los_Angeles,55505,41.00,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,34.88620,57.62030
91226,CA,Glendale,Los Angeles,34.18180,-118.24680,America/Los_Angeles,184457,42.21,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,30.47170,32.85230
90639,CA,La Mirada,Los Angeles,33.90250,-118.00930,America/Los_Angeles,50667,39.00,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,28.39910,57.34920
91387,CA,Santa Clarita,Los Angeles,34.41750,-118.49640,America/Los_Angeles,61526,39.40,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,53.43980,37.01790
90278,CA,Redondo Beach,Los Angeles,33.85740,-118.37660,America/Los_Angeles,77623,42.15,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,9.89650,32.63310
90223,CA,Compton,Los Angeles,33.89300,-118.22750,America/Los_Angeles,138362,28.87,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,17.54110,39.94850
90703,CA,Cerritos,Los Angeles,33.86770,-118.06860,America/Los_Angeles,50481,46.00,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,28.27730,54.00200
91772,CA,Rosemead,Los Angeles,34.06890,-118.08230,America/Los_Angeles,64529,39.30,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,33.14930,46.58880
91077,CA,Arcadia,Los Angeles,34.13420,-118.03730,America/Los_Angeles,67565,45.05,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,40.26260,50.84030
90640,CA,Montebello,Los Angeles,34.01550,-118.11080,America/Los_Angeles,64937,35.50,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,28.58070,44.74130
90411,CA,Santa Monica,Los Angeles,34.02320,-118.48130,America/Los_Angeles,97137,42.44,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,11.23390,12.48760
91756,CA,Monterey Park,Los Angeles,34.04970,-118.13260,America/Los_Angeles,62545,44.50,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,28.04760,42.16090
90662,CA,Pico Rivera,Los Angeles,33.99020,-118.08880,America/Los_Angeles,64292,34.60,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,29.91080,47.33900
91741,CA,Glendora,Los Angeles,34.14490,-117.84680,America/Los_Angeles,54342,41.25,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,24.69700,68.41070
91769,CA,Pomona,Los Angeles,34.05850,-117.76260,America/Los_Angeles,160708,30.37,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,14.88980,76.05610
93584,CA,Lancaster,Los Angeles,34.69350,-118.17530,America/Los_Angeles,195189,32.03,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,86.19830,76.71410
91189,CA,Pasadena,Los Angeles,34.15970,-118.13900,America/Los_Angeles,161050,39.52,15.610,62,3,59.8,,,,,1.00,13.30,7.25,0.76,"$3,818.00",33.00,34,42,34.60440,41.92410
